conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,clean_text,nama_gunung_ekstraksi
1862991509420929307,Sat Nov 30 22:46:03 +0000 2024,3,Gunung Semeru kembali erupsi dengan letusan setinggi 500 meter https://t.co/pU5pXzzXcE,1862991509420929307,,,in,,0,0,0,https://x.com/undefined/status/1862991509420929307,121640063,,gunung semeru kembali erupsi dengan letusan setinggi 500 meter,Semeru
1862907031990194540,Sat Nov 30 17:17:27 +0000 2024,0,Gue pengen bgt nyoba backpackerrr.. terus ke gunung rinjanii.. tp krn gue belum prnh muncak gue pengen nyoba yg kecil2 dlu. Sayangnya skrg lg musim hujan gue gak bisa muncak pas libur akhir tahun,1862908815425015867,,victaetory,in,,0,0,0,https://x.com/undefined/status/1862908815425015867,1674743491,,gue pengen bgt nyoba backpackerrr.. terus ke gunung rinjanii.. tp krn gue belum prnh muncak gue pengen nyoba yg kecil2 dlu. sayangnya skrg lg musim hujan gue gak bisa muncak pas libur akhir tahun,Rinjani
1862892284007817632,Sat Nov 30 16:11:46 +0000 2024,0,Dulu kuat naik gunung Prau dari basecamp sampe puncak ga minum sama sekali n gak banyak brik padahal bawa carier isi tenda. Naik turun Merbabu kurang dari 8 jam udah termasuk isoma. Sekarang naik tangga aja udah engap. Wis tuoooo.,1862892284007817632,,,in,,0,0,0,https://x.com/undefined/status/1862892284007817632,755653550,,dulu kuat naik gunung prau dari basecamp sampe puncak ga minum sama sekali n gak banyak brik padahal bawa carier isi tenda. naik turun merbabu kurang dari 8 jam udah termasuk isoma. sekarang naik tangga aja udah engap. wis tuoooo.,Prau
1862878329294204972,Sat Nov 30 15:16:18 +0000 2024,2,Sabtu Pagi Ini Gunung Semeru Kembali Erupsi Tiga Kali https://t.co/llM4huekiy,1862878329294204972,,,in,,0,0,0,https://x.com/undefined/status/1862878329294204972,41730943,,sabtu pagi ini gunung semeru kembali erupsi tiga kali,Semeru
1862869569993572657,Sat Nov 30 14:41:30 +0000 2024,1482,Halo Warga Merapi! Gunung Merapi kembali memamerkan fenomena menakjubkan awan lentikular yang melayang di puncaknya! Awan berbentuk lensa ini terlihat pada Jumat 29 November 2024 dan terekam kamera pemantauan BPPTKG di lereng selatan. Awan lentikular tidak berhubungan dengan https://t.co/HFf1QAOc78,1862869569993572657,https://pbs.twimg.com/ext_tw_video_thumb/1862869535595884544/pu/img/f0NBgHa73BJYBphF.jpg,,in,,21,19,368,https://x.com/undefined/status/1862869569993572657,1279804428724211712,,halo warga merapi! gunung merapi kembali memamerkan fenomena menakjubkan awan lentikular yang melayang di puncaknya! awan berbentuk lensa ini terlihat pada jumat 29 november 2024 dan terekam kamera pemantauan bpptkg di lereng selatan. awan lentikular tidak berhubungan dengan,Merapi
1862784911150813536,Sat Nov 30 14:40:43 +0000 2024,0,@sakkusaitna @Ar4rmanSyah Semodern apapun jk dlm darurat umpama 1. Di sabana gunung bromo 2. Di pendakian gunung Merapi 3. Di tebing yg terjal Berak/kencing tapi ... 1. Tidak ada alat BERSUCI yg wajar 2. Tidk ada bhn BERSUCI yg wajar Pakai apa? Gigi Lo? Islam memberi tuntunan salah satunya dg batu,1862869374400692412,,sakkusaitna,in,,0,1,0,https://x.com/undefined/status/1862869374400692412,1603557669239128064,,semodern apapun jk dlm darurat umpama 1. di sabana gunung bromo 2. di pendakian gunung merapi 3. di tebing yg terjal berak/kencing tapi ... 1. tidak ada alat bersuci yg wajar 2. tidk ada bhn bersuci yg wajar pakai apa? gigi lo? islam memberi tuntunan salah satunya dg batu,Merapi
1862865429276012701,Sat Nov 30 14:25:04 +0000 2024,0,Buat mengungkapkan sayang ini aku rasanya harus teriaaaaak di puncak Gunung Papandayan kalau aku sebegitu sayangnya sama Cilla adikku. Sebisa mungkin mau menyediakan ruang aman buat dia cerita dan ngasih saran menurut sudut pandangku.,1862865435894653308,,semerahati,in,,0,1,1,https://x.com/undefined/status/1862865435894653308,1427766049,,buat mengungkapkan sayang ini aku rasanya harus teriaaaaak di puncak gunung papandayan kalau aku sebegitu sayangnya sama cilla adikku. sebisa mungkin mau menyediakan ruang aman buat dia cerita dan ngasih saran menurut sudut pandangku.,Papandayan
1862697630788460802,Sat Nov 30 13:27:16 +0000 2024,0,@yosefikr Puncak gunung manglayang emg indah banget,1862850890207830441,,yosefikr,in,,0,0,0,https://x.com/undefined/status/1862850890207830441,1235783468522418176,,puncak gunung manglayang emg indah banget,Manglayang
1862824760398491926,Sat Nov 30 11:43:27 +0000 2024,0,Kemarin tuh niatnya ke Gn. Sagara lagi. Tapi dia yg ngebelokin ke Gn. Cikuray. Dia juga yg nangis kejer gara2 k Cikuray. Dikasih track edan start jalan jam 2 siang sampe camp site jam 9 malem untung gak dikasih hujan dan sekarang ngajak k Gunung lagi https://t.co/9McBcs0F1y,1862824760398491926,https://pbs.twimg.com/media/GdoVP14WIAEBTtR.jpg,,in,,0,0,0,https://x.com/undefined/status/1862824760398491926,538776995,,kemarin tuh niatnya ke gn. sagara lagi. tapi dia yg ngebelokin ke gn. cikuray. dia juga yg nangis kejer gara2 k cikuray. dikasih track edan start jalan jam 2 siang sampe camp site jam 9 malem untung gak dikasih hujan dan sekarang ngajak k gunung lagi,Cikuray
1862824120477737384,Sat Nov 30 11:42:10 +0000 2024,0,WKWKWK TP JUJUR IYE JELEK BANGET yg bagus cuma UGM Malbor tugu sm gunung merapi doang sisanya bablas angin e,1862824440767365262,,hiazzow,in,,0,0,0,https://x.com/undefined/status/1862824440767365262,1277964798781583361,,wkwkwk tp jujur iye jelek banget yg bagus cuma ugm malbor tugu sm gunung merapi doang sisanya bablas angin e,Merapi
